ticker,sector,industry,前日比%,株価,平均出来高,売買代金M$,RelVol,RS,52W安値比%
AMDL,その他,,5.4,67.01,2757612,210.2,1.14,99,609.2
CYPH,Financial Services,Asset Management,17.3,3.6,7883592,106.2,3.74,99,1185.7
AAOI,Technology,Communication Equipment,7.3,105.17,9735068,1036.0,1.01,98,468.5
PURR,その他,,9.8,14.09,17955163,808.4,3.2,98,368.1
MXL,Technology,Semiconductors,8.2,81.12,3029349,394.8,1.61,98,535.2
TWST,Healthcare,Diagnostics & Research,7.3,166.99,1622913,512.5,1.89,98,616.7
PLSE,Healthcare,Medical Instruments & Supplies,6.4,53.87,509576,45.7,1.66,97,328.9
FORM,Technology,Semiconductor Equipment & Materials,6.1,118.38,1231801,291.3,2.0,97,240.2
TJGC,Communication Services,Advertising Agencies,53.0,16.84,1386155,42.9,1.84,97,1052.6
COHU,Technology,Semiconductor Equipment & Materials,5.0,57.75,1012623,75.6,1.29,96,209.3
HUT,Financial Services,Capital Markets,8.5,98.74,4756794,728.2,1.55,96,211.8
LRCX,Technology,Semiconductor Equipment & Materials,7.0,288.11,9596667,5610.0,2.03,95,131.8
ONTO,Technology,Semiconductor Equipment & Materials,5.4,263.43,1065738,544.5,1.94,94,121.4
TYRA,Healthcare,Biotechnology,5.3,25.73,845447,53.3,2.45,93,107.8
SGML,Basic Materials,Other Industrial Metals & Mining,12.3,9.97,1832100,33.1,1.81,88,116.0
DGXX,Utilities,Utilities - Independent Power Producers,6.5,4.09,3169316,27.1,2.09,88,119.9
ENTG,Technology,Semiconductor Equipment & Materials,5.6,142.25,2412723,450.1,1.31,85,109.8
CIFR,Technology,Information Technology Services,8.3,18.34,33636262,753.6,1.22,84,66.6
NRGV,Utilities,Utilities - Renewable,6.1,4.49,4677621,62.6,2.98,82,79.6
APLD,Technology,Information Technology Services,6.6,28.12,17763801,666.6,1.33,79,48.0
RIOT,Financial Services,Capital Markets,8.5,23.75,19027657,583.7,1.29,78,106.5
KEEL,Technology,Information Technology Services,11.1,4.01,35008421,270.0,1.92,74,138.7
IREN,Financial Services,Capital Markets,7.4,46.68,44329186,2113.8,1.02,68,61.4
SLNH,Financial Services,Capital Markets,5.9,1.26,10005713,19.8,1.57,64,113.6
WOLF,その他,,7.8,25.59,3704145,94.9,1.0,63,217.9
