date,total,Communication Services,Consumer Cyclical,Consumer Defensive,Energy,Financial Services,Healthcare,Industrials,Real Estate,Technology,その他,Basic Materials,Utilities
2026-07-02,33,4.0,2.0,2.0,1.0,6.0,10,2.0,1.0,2.0,3.0,0.0,0.0
2026-07-03,51,0.0,2.0,0.0,1.0,1.0,33,1.0,0.0,0.0,4.0,9.0,0.0
2026-07-06,25,1.0,1.0,0.0,0.0,3.0,12,1.0,0.0,3.0,3.0,1.0,0.0
2026-07-07,43,0.0,0.0,0.0,5.0,0.0,33,1.0,0.0,4.0,0.0,0.0,0.0
2026-07-08,44,0.0,1.0,1.0,13.0,1.0,14,2.0,0.0,6.0,5.0,1.0,0.0
2026-07-09,31,0.0,1.0,1.0,0.0,1.0,11,1.0,1.0,9.0,4.0,2.0,0.0
2026-07-10,11,1.0,1.0,0.0,0.0,2.0,1,3.0,0.0,2.0,0.0,0.0,1.0
2026-07-13,14,1.0,0.0,1.0,6.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,29,1.0,0.0,0.0,2.0,2.0,12,1.0,0.0,8.0,3.0,0.0,0.0
2026-07-15,26,1.0,1.0,0.0,0.0,2.0,11,1.0,1.0,4.0,5.0,0.0,0.0
2026-07-16,13,0.0,0.0,1.0,0.0,0.0,5,7.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,23,0.0,0.0,0.0,3.0,0.0,12,1.0,0.0,2.0,1.0,4.0,0.0
2026-07-20,12,0.0,1.0,0.0,0.0,4.0,3,0.0,0.0,4.0,0.0,0.0,0.0
2026-07-21,52,1.0,0.0,0.0,4.0,4.0,18,4.0,0.0,8.0,3.0,10.0,0.0
2026-07-22,14,0.0,0.0,0.0,2.0,1.0,6,3.0,0.0,0.0,1.0,0.0,1.0
2026-07-23,22,1.0,0.0,0.0,3.0,1.0,9,3.0,0.0,4.0,0.0,1.0,0.0
2026-07-24,10,0.0,1.0,0.0,3.0,1.0,3,1.0,0.0,1.0,0.0,0.0,0.0
2026-07-27,17,0.0,2.0,0.0,1.0,0.0,11,1.0,1.0,1.0,0.0,0.0,0.0
2026-07-28,25,1.0,5.0,0.0,0.0,0.0,12,2.0,0.0,3.0,0.0,2.0,0.0
2026-07-29,22,0.0,1.0,2.0,4.0,0.0,8,0.0,0.0,4.0,1.0,2.0,0.0
2026-07-30,118,4.0,3.0,1.0,10.0,8.0,19,17.0,0.0,37.0,12.0,6.0,1.0
2026-07-31,24,1.0,1.0,1.0,3.0,0.0,5,5.0,0.0,6.0,2.0,0.0,0.0
2026-08-03,64,2.0,7.0,1.0,1.0,5.0,17,8.0,0.0,16.0,4.0,3.0,0.0
2026-08-04,93,2.0,2.0,0.0,2.0,2.0,14,11.0,0.0,31.0,17.0,12.0,0.0
2026-08-05,61,2.0,4.0,0.0,2.0,0.0,13,3.0,1.0,7.0,7.0,22.0,0.0
2026-08-07,108,6.0,6.0,2.0,3.0,1.0,15,6.0,0.0,18.0,9.0,41.0,1.0
2026-08-10,48,3.0,2.0,1.0,14.0,0.0,14,1.0,0.0,5.0,1.0,7.0,0.0
2026-08-11,19,0.0,0.0,1.0,2.0,1.0,3,5.0,0.0,5.0,0.0,0.0,2.0
2026-08-12,47,2.0,1.0,0.0,1.0,4.0,13,5.0,0.0,15.0,4.0,0.0,2.0
2026-08-13,28,0.0,3.0,1.0,1.0,0.0,8,4.0,0.0,10.0,0.0,1.0,0.0
2026-08-14,36,2.0,0.0,0.0,0.0,1.0,11,4.0,0.0,13.0,3.0,2.0,0.0
2026-08-17,19,0.0,1.0,0.0,4.0,0.0,7,3.0,0.0,4.0,0.0,0.0,0.0
2026-08-18,15,0.0,0.0,0.0,1.0,1.0,8,1.0,0.0,1.0,2.0,1.0,0.0
2026-08-19,92,1.0,2.0,2.0,1.0,1.0,42,1.0,0.0,2.0,8.0,32.0,0.0
2026-08-20,19,0.0,0.0,0.0,1.0,3.0,6,0.0,0.0,1.0,4.0,4.0,0.0
2026-08-21,47,0.0,2.0,0.0,8.0,4.0,9,1.0,0.0,1.0,6.0,16.0,0.0
2026-08-24,11,1.0,3.0,0.0,0.0,2.0,2,0.0,0.0,0.0,1.0,2.0,0.0
2026-08-25,38,2.0,0.0,1.0,3.0,2.0,19,1.0,0.0,3.0,4.0,3.0,0.0
2026-08-27,11,0.0,2.0,0.0,0.0,0.0,5,0.0,0.0,3.0,1.0,0.0,0.0
2026-08-28,39,0.0,2.0,0.0,5.0,1.0,4,2.0,0.0,14.0,9.0,2.0,0.0
2026-08-29,5,1.0,1.0,0.0,0.0,0.0,2,0.0,0.0,0.0,1.0,0.0,0.0
2026-09-01,13,0.0,0.0,1.0,3.0,0.0,8,0.0,0.0,0.0,1.0,0.0,0.0
2026-09-02,33,2.0,2.0,1.0,3.0,0.0,11,2.0,0.0,4.0,4.0,4.0,0.0
2026-09-03,28,1.0,1.0,0.0,1.0,9.0,2,1.0,0.0,7.0,3.0,3.0,0.0
