date,sector,eligible,passed,pass_rate
2026-09-23,Basic Materials,204,3,1.47
2026-09-23,Communication Services,218,0,0.0
2026-09-23,Consumer Cyclical,457,0,0.0
2026-09-23,Consumer Defensive,188,0,0.0
2026-09-23,Energy,177,0,0.0
2026-09-23,Financial Services,616,0,0.0
2026-09-23,Healthcare,890,4,0.45
2026-09-23,Industrials,546,4,0.73
2026-09-23,Real Estate,43,0,0.0
2026-09-23,Technology,642,11,1.71
2026-09-23,Utilities,94,0,0.0
2026-09-23,その他,764,1,0.13
2026-09-24,Basic Materials,205,1,0.49
2026-09-24,Communication Services,220,1,0.45
2026-09-24,Consumer Cyclical,458,1,0.22
2026-09-24,Consumer Defensive,190,0,0.0
2026-09-24,Energy,178,0,0.0
2026-09-24,Financial Services,619,2,0.32
2026-09-24,Healthcare,890,14,1.57
2026-09-24,Industrials,547,2,0.37
2026-09-24,Real Estate,43,0,0.0
2026-09-24,Technology,645,4,0.62
2026-09-24,Utilities,95,1,1.05
2026-09-24,その他,765,3,0.39
